data_ymd;ano;mes;area;epoca;recuperacao;ndvi;Frequencia
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,083700441;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,336633663;0,898039216
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,388888889;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,114035088;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,233333333;0,917647059
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,145374449;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,441860465;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,140271493;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,38121547;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,209039548;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,027237354;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,395348837;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,068181818;0,850980392
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,182926829;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,235955056;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,234567901;0,925490196
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,404494382;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,322033898;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,408602151;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,245714286;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,314606742;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,298507463;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,146666667;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,089361702;0,745098039
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,395604396;4
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,398907104;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,107296137;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,288135593;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,064935065;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,379679144;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;-0,038062284;0,992156863
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,272727273;1,490196078
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,068825911;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,227272727;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,413043478;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,5;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,344262295;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,02;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,24137931;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;-0,018315018;0,980392157
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,091891892;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,431952663;0,874509804
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,265306122;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,159090909;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,311827957;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,016042781;0,984313725
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,376623377;0,843137255
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,274725275;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,103448276;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,10460251;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,151785714;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,222857143;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,175879397;1,141176471
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,452631579;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,173184358;0,898039216
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,365853659;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,034090909;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,048387097;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,372781065;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,229885057;1,635294118
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,473684211;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,30994152;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,233830846;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,03875969;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,43956044;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,229050279;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,154285714;0,807843137
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,163841808;0,980392157
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,137724551;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,344827586;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,355263158;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,28342246;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,102803738;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,263736264;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,403314917;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,357142857;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,421383648;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,329608939;1,729411765
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,508379888;1
